requirement_id,product_name,stakeholder_group,user_story,acceptance_criteria,status,validation_state,linked_quality_check,release_target
REQ-DP001-1,Club Revenue Health Mart,commercial teams,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,Accepted,Accepted,lineage_owner,Executive readout
REQ-DP001-2,Club Revenue Health Mart,commercial teams,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,At risk,Pending,freshness_sla,Backlog
REQ-DP001-3,Club Revenue Health Mart,commercial teams,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",In validation,Needs evidence,completeness,Week 1 validation
REQ-DP002-1,Game Operations Readiness Feed,league departments,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,Accepted,Accepted,freshness_sla,Club pilot
REQ-DP002-2,Game Operations Readiness Feed,league departments,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",Ready for build,Scheduled,freshness_sla,Next sprint
REQ-DP002-3,Game Operations Readiness Feed,league departments,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Ready for build,Needs evidence,lineage_owner,Backlog
REQ-DP003-1,Fan Identity Golden Record,media teams,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",In validation,Needs evidence,lineage_owner,Backlog
REQ-DP003-2,Fan Identity Golden Record,media teams,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Blocked,Scheduled,completeness,Week 1 validation
REQ-DP003-3,Fan Identity Golden Record,media teams,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,Accepted,Accepted,completeness,Executive readout
REQ-DP004-1,Media Engagement Attribution Mart,league departments,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",In validation,Scheduled,schema_drift,Week 1 validation
REQ-DP004-2,Media Engagement Attribution Mart,league departments,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,Accepted,Accepted,key_uniqueness,Club pilot
REQ-DP004-3,Media Engagement Attribution Mart,league departments,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,In validation,Scheduled,completeness,Executive readout
REQ-DP005-1,Sponsor Asset Delivery Product,commercial teams,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,Blocked,Pending,schema_drift,Backlog
REQ-DP005-2,Sponsor Asset Delivery Product,commercial teams,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,In validation,Needs evidence,lineage_owner,Next sprint
REQ-DP005-3,Sponsor Asset Delivery Product,commercial teams,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,Blocked,Needs evidence,freshness_sla,Next sprint
REQ-DP006-1,Ticket Demand Forecast Feed,football staff,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,Blocked,Needs evidence,key_uniqueness,Executive readout
REQ-DP006-2,Ticket Demand Forecast Feed,football staff,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,Ready for build,Scheduled,freshness_sla,Next sprint
REQ-DP006-3,Ticket Demand Forecast Feed,football staff,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",At risk,Needs evidence,lineage_owner,Next sprint
REQ-DP007-1,Player Availability Signal Mart,league departments,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,In validation,Needs evidence,schema_drift,Week 1 validation
REQ-DP007-2,Player Availability Signal Mart,league departments,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",In validation,Scheduled,schema_drift,Week 1 validation
REQ-DP007-3,Player Availability Signal Mart,league departments,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Blocked,Scheduled,key_uniqueness,Executive readout
REQ-DP008-1,Merchandise Sell Through Mart,football staff,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",Ready for build,Scheduled,completeness,Next sprint
REQ-DP008-2,Merchandise Sell Through Mart,football staff,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Accepted,Accepted,freshness_sla,Club pilot
REQ-DP008-3,Merchandise Sell Through Mart,football staff,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,Blocked,Pending,freshness_sla,Backlog
REQ-DP009-1,Club Executive Scorecard Layer,football staff,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",At risk,Scheduled,completeness,Club pilot
REQ-DP009-2,Club Executive Scorecard Layer,football staff,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,In validation,Needs evidence,freshness_sla,Next sprint
REQ-DP009-3,Club Executive Scorecard Layer,football staff,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,Blocked,Needs evidence,schema_drift,Executive readout
REQ-DP010-1,Football Insights Feature Store,commercial teams,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,Ready for build,Pending,freshness_sla,Backlog
REQ-DP010-2,Football Insights Feature Store,commercial teams,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,In validation,Scheduled,completeness,Club pilot
REQ-DP010-3,Football Insights Feature Store,commercial teams,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,In validation,Scheduled,completeness,Week 1 validation
REQ-DP011-1,Consumer Journey Activation Mart,football staff,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,Blocked,Pending,key_uniqueness,Executive readout
REQ-DP011-2,Consumer Journey Activation Mart,football staff,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,Blocked,Scheduled,schema_drift,Backlog
REQ-DP011-3,Consumer Journey Activation Mart,football staff,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",Blocked,Scheduled,key_uniqueness,Club pilot
REQ-DP012-1,Cross Platform Content Reach Mart,commercial teams,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,Ready for build,Pending,lineage_owner,Week 1 validation
REQ-DP012-2,Cross Platform Content Reach Mart,commercial teams,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",Ready for build,Scheduled,schema_drift,Week 1 validation
REQ-DP012-3,Cross Platform Content Reach Mart,commercial teams,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Blocked,Needs evidence,key_uniqueness,Next sprint
REQ-DP013-1,Partnership Renewal Evidence Pack,football staff,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",Accepted,Accepted,completeness,Next sprint
REQ-DP013-2,Partnership Renewal Evidence Pack,football staff,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Ready for build,Scheduled,completeness,Club pilot
REQ-DP013-3,Partnership Renewal Evidence Pack,football staff,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,In validation,Needs evidence,key_uniqueness,Week 1 validation
REQ-DP014-1,Club Seat Upgrade Propensity Mart,commercial teams,"As an analytics engineer, I need quality gates before publication so that downstream dashboards do not mask failed checks.","Completeness, freshness, schema, and key uniqueness checks pass or have approved exceptions.",Accepted,Accepted,key_uniqueness,Week 1 validation
REQ-DP014-2,Club Seat Upgrade Propensity Mart,commercial teams,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,In validation,Pending,lineage_owner,Club pilot
REQ-DP014-3,Club Seat Upgrade Propensity Mart,commercial teams,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,At risk,Needs evidence,lineage_owner,Week 1 validation
REQ-DP015-1,Responsible Health Reporting Layer,football staff,"As a club analyst, I need consistent identity joins so that club comparison packs use the same fan population.",Identity match rate is above 97 percent and exceptions are documented.,Accepted,Accepted,freshness_sla,Backlog
REQ-DP015-2,Responsible Health Reporting Layer,football staff,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,Ready for build,Needs evidence,key_uniqueness,Next sprint
REQ-DP015-3,Responsible Health Reporting Layer,football staff,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,Accepted,Accepted,completeness,Executive readout
REQ-DP016-1,Retail Inventory Exception Feed,clubs,"As a football operations stakeholder, I need late feed alerts so that game week decisions are not based on stale data.",Critical feeds land before the published SLA for five consecutive business days.,Accepted,Accepted,schema_drift,Week 1 validation
REQ-DP016-2,Retail Inventory Exception Feed,clubs,"As a commercial lead, I need sponsor delivery metrics tied to source lineage so that renewal narratives can be defended.",Every metric maps to a source field and owner in the lineage register.,In validation,Pending,key_uniqueness,Backlog
REQ-DP016-3,Retail Inventory Exception Feed,clubs,"As a product owner, I need requirement status by release lane so that blocked work is visible before sprint planning.","Blocked requirements have a named owner, blocker reason, and next validation step.",Blocked,Scheduled,completeness,Week 1 validation
